Code,Occupation,Job Family,Cluster
35-9021.00,dishwashers,Food Preparation and Serving Related,0
43-5032.00,dispatchers except police fire ambulance,Office and Administrative Support,0
15-1299.03,document management specialists,Computer and Mathematical,4
41-9091.00,doortodoor sales workers news street vendors related workers,Sales and Related,3
17-3019.00,drafters,Architecture and Engineering,0
53-7031.00,dredge operators,Transportation and Material Moving,0
51-4032.00,drilling boring machine tool setters operators tenders metal plastic,Production,0
53-3031.00,driversales workers,Transportation and Material Moving,0
47-2081.00,drywall ceiling tile installers,Construction and Extraction,0
47-5023.00,earth drillers except oil gas,Construction and Extraction,0
25-1063.00,economics teachers postsecondary,Educational Instruction and Library,2
19-3011.00,economists,"Life, Physical, and Social Science",0
27-3041.00,editors,"Arts, Design, Entertainment, Sports, and Media",0
11-9039.00,education administrators,Management,6
11-9032.00,education administrators kindergarten secondary,Management,6
11-9033.00,education administrators postsecondary,Management,6
11-9031.00,education childcare administrators preschool daycare,Management,6
25-1081.00,education teachers postsecondary,Educational Instruction and Library,2
